c/c++,java,python,wt,dbms,se,ds,algo,math,stats,project
4,4,4,3,4,4,4,4,4,4,AI
4,3,4,3,5,5,4,3,3,4,AI
3,3,3,3,3,5,5,5,2,4,WA
4,3,5,3,4,5,3,3,4,4,Cloud
5,2,5,3,4,5,5,5,3,3,Others
3,1,3,3,3,2,2,2,3,2,Others
3,1,2,2,3,2,3,2,4,4,WA
4,3,5,3,3,4,5,5,5,5,MA
3,2,3,3,2,2,2,2,2,2,WA
4,5,4,3,5,4,4,4,4,3,Others
3,2,3,3,3,3,3,3,2,2,WA
3,2,4,3,3,3,3,3,3,3,AI
3,4,5,3,3,4,3,3,4,3,AI
3,4,3,4,4,4,4,4,4,4,MA
3,4,3,5,5,4,3,3,5,3,WA
3,3,3,4,4,4,3,3,3,3,WA
4,4,1,2,3,3,3,3,3,1,WA
3,1,4,3,4,4,4,3,5,5,WA
4,1,5,3,4,3,4,4,5,5,Cloud
2,2,4,3,2,3,1,1,4,3,Others
4,2,4,4,3,4,5,5,5,5,AI
5,5,3,5,4,5,4,5,5,5,AI
3,2,2,2,3,3,3,2,1,1,WA
5,2,4,4,5,3,4,4,5,5,Cloud
4,2,4,4,4,3,4,3,4,3,WA
4,3,2,1,2,2,3,3,2,1,MA
1,1,5,5,5,5,5,5,5,5,Others
3,2,4,4,3,3,3,3,3,3,WA
4,3,5,5,4,4,4,4,5,4,WA
4,3,3,4,4,4,4,4,4,4,IP
4,3,3,3,3,3,3,3,3,3,IP
2,2,3,3,4,3,3,3,4,3,AI
2,1,2,2,2,2,2,2,3,2,Others
5,1,5,5,5,4,4,4,5,4,AI
3,2,3,3,4,4,4,3,4,4,AI
3,2,4,4,3,3,3,3,3,3,WA
3,2,4,4,2,3,5,4,5,5,WA
3,1,4,4,3,2,3,2,3,2,WA
3,3,3,2,2,2,3,3,4,2,Others
3,2,3,4,3,3,3,3,4,3,WA
3,3,1,1,3,2,4,4,3,1,MA
3,1,5,4,4,4,3,3,4,4,AI
5,5,2,3,4,5,5,4,2,2,WA
2,2,2,1,2,2,2,2,3,3,Others
2,1,3,2,3,2,2,1,2,2,WA
3,2,4,3,4,3,4,3,4,3,AI
2,1,3,3,4,3,2,2,2,2,WA
3,2,4,3,2,2,2,2,3,1,MA
3,4,2,5,3,3,3,2,2,2,WA
4,2,3,3,3,3,3,2,3,3,WA
3,2,4,4,3,4,4,3,3,4,WA
3,2,4,2,3,4,2,2,3,4,AI
3,4,4,3,3,3,4,3,3,3,MA
2,1,4,2,3,2,3,2,3,2,AI
